Close Price,High Price,Open Price,Low Price
0.12089137534011289,0.12098499903934472,0.12014501032523739,0.12054968636210642
0.12090365302799197,0.12128102132534926,0.12041321566612444,0.12052473480876114
0.1209453451892354,0.12130725874238452,0.12019539307943358,0.12031541163509014
0.1210841153972775,0.121470378920061,0.12034885796207023,0.1204400950350093
0.12124037082438124,0.12164795367006642,0.12051350757942991,0.12058337744093871
0.12139561982989049,0.12181046364057357,0.12066435435900637,0.12072859141839089
0.12155410189528369,0.12197257183815216,0.12082121924873582,0.12088269020127163
0.12171336719707752,0.12213423612985577,0.120979705351355,0.12103957801917001
0.12187232969739036,0.1222948528106046,0.1211376847759732,0.12119668968363789
0.1220307494973702,0.12245461697292896,0.12129515117916496,0.1213535749191824
0.12218850604298566,0.12261359780448901,0.12145198759761568,0.1215099381721083
0.12234553657849699,0.12277179633106959,0.12160810486421601,0.1216656327111277
0.12250182070823525,0.12292922104081706,0.12176348127001978,0.12182060901191695
0.12265735224950493,0.12308587870541683,0.12191811061929071,0.12197484858196388
0.12281213045361421,0.12324177380283222,0.12207199138384064,0.12212834501183498
0.1229661571456325,0.12339691035862449,0.12222512512786358,0.12228109780215485
0.12311943522284506,0.12355129223097802,0.12237751466439929,0.12243310887081918
0.12327196800331547,0.12370492315617654,0.12252916325324367,0.12258438109870627
0.12342375897548044,0.12385780681287697,0.1226800743451358,0.12273491777263934
0.12357481169020469,0.124009946847309,0.12283025146386467,0.12288472234188803
0.12372512971419393,0.12416134688128617,0.12297969815266609,0.12303379831318118
0.12387471661074491,0.12431201051613153,0.12312841795295572,0.12318214920749805
0.12402357593171856,0.1244619413344876,0.12327641439550022,0.12332977854193619
0.12417171121418019,0.12461114290107775,0.12342369099665079,0.1234766898220545
0.12431912597903481,0.12475961876307615,0.12357025125681317,0.12362288653870437
0.12446582373050222,0.124907372450316,0.12371609865985661,0.12376837216674624
0.12461180795594327,0.12505440747542454,0.1238612366729113,0.12391315016455537
0.12475708212583461,0.12520072733392823,0.12400566874633029,0.12405722397386104
